Name,Time_min,Time_max,Space_min,Space_max,Category,Reference
Protein folding,1e-09,1.0,1e-27,1e-24,Molecular,
DNA replication (single origin),1.0,1000.0,1e-18,1e-15,Molecular,
mRNA transcription,10.0,1000.0,1e-18,1e-15,Molecular,
ATP synthesis (single molecule),0.001,0.1,1e-27,1e-25,Molecular,
Enzyme catalytic cycle,1e-06,0.01,1e-27,1e-24,Molecular,
Ribosome translation,10.0,1000.0,1e-24,1e-21,Molecular,
Virus assembly,100.0,10000.0,1e-24,1e-20,Molecular,
Bacterial cell division,1200.0,72000.0,1e-18,1e-15,Cellular,
Mitochondrial fission/fusion,10.0,1000.0,1e-18,1e-16,Cellular,
Calcium signaling wave,0.1,10.0,1e-15,1e-12,Cellular,
Yeast cell cycle,5400.0,7200.0,1e-16,1e-14,Cellular,
White blood cell migration,600.0,36000.0,1e-15,1e-12,Cellular,
Neuron action potential,0.001,0.01,1e-15,1e-13,Cellular,
Red blood cell lifespan,10000000.0,10400000.0,1e-16,1e-14,Cellular,
Liver cell turnover,15000000.0,50000000.0,1e-14,1e-12,Cellular,
Skin cell turnover (epidermis),2400000.0,3500000.0,1e-14,1e-11,Cellular,
Heartbeat (single beat),0.3,1.0,7e-05,0.0003,Organism,Standard cardiac physiology; stroke volume ~70 mL
Human breath cycle,3,6,0.0003,0.006,Organism,
Butterfly wing beat,0.01,0.1,1e-09,1e-06,Organism,
Housefly lifespan,2400000.0,2600000.0,1e-08,1e-06,Organism,
Mayfly adult lifespan,3600.0,86400.0,1e-08,1e-06,Organism,
E. coli doubling,1200.0,7200.0,1e-18,1e-15,Organism,
Mouse lifespan,63000000.0,95000000.0,1e-05,3e-05,Organism,
Domestic cat lifespan,380000000.0,630000000.0,0.003,0.01,Organism,
Dog lifespan,300000000.0,500000000.0,0.005,0.05,Organism,
Human lifespan,2200000000.0,3200000000.0,0.05,0.1,Organism,WHO life expectancy tables; body volume ~0.07 m³
Blue whale lifespan,2500000000.0,3500000000.0,50.0,150.0,Organism,Sears & Perrin (2018) Mammalian Species 50(966):15-29
Giant tortoise lifespan,3500000000.0,5700000000.0,0.01,0.05,Organism,
Bowhead whale lifespan,6300000000.0,6300000000.0,30.0,100.0,Organism,
Greenland shark lifespan,8600000000.0,16000000000.0,1.0,5.0,Organism,Nielsen et al. (2016) Science 353(6300):702-704
Grass blade growth,86400.0,2600000.0,1e-07,1e-05,Organism,
Sunflower lifespan,7800000.0,16000000.0,0.001,0.01,Organism,
